Player,Country,Team,Goals,Season
David Silva,Spain,Manchester City,4,2012-2013
Patrice Evra,France,Manchester United,4,2012-2013
Zoltán Gera,Hungary,West Bromwich Albion,4,2012-2013
Alexander Kačaniklić,Sweden,Fulham FC,4,2012-2013
Aaron Lennon,England,Tottenham Hotspur,4,2012-2013
James Milner,England,Manchester City,4,2012-2013
Steven Naismith,Scotland,Everton FC,4,2012-2013
Mark Noble,England,West Ham United,4,2012-2013
Oscar,Brazil,Chelsea FC,4,2012-2013
Bryan Ruiz,Costa Rica,Fulham FC,4,2012-2013
Steven Sidwell,England,Fulham FC,4,2012-2013
John Terry,England,Chelsea FC,4,2012-2013
Bobby Zamora,England,Queens Park Rangers,4,2012-2013
Charlie Adam,Scotland,Stoke City,3,2012-2013
Daniel Agger,Denmark,Liverpool FC,3,2012-2013
Àngel Rangel,Spain,Swansea City,3,2012-2013
Sébastien Bassong,Cameroon,Norwich City,3,2012-2013
Darren Bent,England,Aston Villa,3,2012-2013
Djibril Cissé,France,Queens Park Rangers,3,2012-2013
Joe Cole,England,West Ham United,3,2012-2013
Momo Diamé,Senegal,West Ham United,3,2012-2013
Stewart Downing,England,Liverpool FC,3,2012-2013
Nathan Dyer,England,Swansea City,3,2012-2013
Jonny Evans,Northern Ireland,Manchester United,3,2012-2013
Yoan Gouffran,France,Newcastle United,3,2012-2013
Danny Graham,England,Swansea City,3,2012-2013
Wes Hoolahan,Ireland,Norwich City,3,2012-2013
Cameron Jerome,Grenada,Stoke City,3,2012-2013
Kenwyne Jones,Trinidad & Tobago,Stoke City,3,2012-2013
Jordi Gómez,Spain,Wigan Athletic,3,2012-2013
Michael Kightly,England,Stoke City,3,2012-2013
Adam Lallana,England,Southampton FC,3,2012-2013
Russell Martin,Scotland,Norwich City,3,2012-2013
James McArthur,Scotland,Wigan Athletic,3,2012-2013
Gareth McAuley,Northern Ireland,West Bromwich Albion,3,2012-2013
James McCarthy,Ireland,Wigan Athletic,3,2012-2013
Garath McCleary,Jamaica,Reading FC,3,2012-2013
Per Mertesacker,Germany,Arsenal FC,3,2012-2013
Luke Moore,England,Swansea City,3,2012-2013
Pablo Hernández,Spain,Swansea City,3,2012-2013
Philippe Coutinho,Brazil,Liverpool FC,3,2012-2013
Rafael,Brazil,Manchester United,3,2012-2013
Ricardo Vaz Tê,Portugal,West Ham United,3,2012-2013
Hugo Rodallega,Colombia,Fulham FC,3,2012-2013
Gylfi Sigurðsson,Iceland,Tottenham Hotspur,3,2012-2013
Moussa Sissoko,France,Newcastle United,3,2012-2013
Michael Turner,England,Norwich City,3,2012-2013
Chris Baird,Northern Ireland,Fulham FC,2,2012-2013
Chris Brunt,Northern Ireland,West Bromwich Albion,2,2012-2013
Alexander Büttner,Netherlands,Manchester United,2,2012-2013
Gary Cahill,England,Chelsea FC,2,2012-2013
Steven Caulker,Sierra Leone,Tottenham Hotspur,2,2012-2013
Tom Cleverley,England,Manchester United,2,2012-2013
Carlton Cole,England,West Ham United,2,2012-2013
Jack Collison,Wales,West Ham United,2,2012-2013
David Luiz,Brazil,Chelsea FC,2,2012-2013
Steven Davis,Northern Ireland,Southampton FC,2,2012-2013
Damien Duff,Ireland,Fulham FC,2,2012-2013
Marc-Antoine Fortuné,France,West Bromwich Albion,2,2012-2013
Ryan Giggs,Wales,Manchester United,2,2012-2013
Junior Hoilett,Canada,Queens Park Rangers,2,2012-2013
Jonny Howson,England,Norwich City,2,2012-2013
Noel Hunt,Ireland,Reading FC,2,2012-2013
Iván Ramis,Spain,Wigan Athletic,2,2012-2013
Phil Jagielka,England,Everton FC,2,2012-2013
Matthew Jarvis,England,West Ham United,2,2012-2013
Javi García,Spain,Manchester City,2,2012-2013
Jermaine Jenas,England,Tottenham Hotspur,2,2012-2013
José Enrique,Spain,Liverpool FC,2,2012-2013
José Fonte,Portugal,Southampton FC,2,2012-2013
Laurent Koscielny,France,Arsenal FC,2,2012-2013
Matthew Lowton,England,Aston Villa,2,2012-2013
Jamie Mackie,Scotland,Queens Park Rangers,2,2012-2013
Modibo Maïga,Mali,West Ham United,2,2012-2013
James McClean,Ireland,Sunderland AFC,2,2012-2013
Callum McManaman,England,Wigan Athletic,2,2012-2013
Sean Morrison,England,Reading FC,2,2012-2013
Youssuf Mulumbu,Congo DR,West Bromwich Albion,2,2012-2013
Charles N'Zogbia,France,Aston Villa,2,2012-2013
Samir Nasri,France,Manchester City,2,2012-2013
Joey O'Brien,Ireland,West Ham United,2,2012-2013
John O'Shea,Ireland,Sunderland AFC,2,2012-2013
Jack Rodwell,England,Manchester City,2,2012-2013
Tomáš Rosický,Czech Republic,Arsenal FC,2,2012-2013
Martin Škrtel,Slovakia,Liverpool FC,2,2012-2013
Raheem Sterling,England,Liverpool FC,2,2012-2013
Andros Townsend,England,Tottenham Hotspur,2,2012-2013
Ron Vlaar,Netherlands,Aston Villa,2,2012-2013
Pablo Zabaleta,Argentina,Manchester City,2,2012-2013
Shola Ameobi,Nigeria,Newcastle United,1,2012-2013
Anderson,Brazil,Manchester United,1,2012-2013
Benoît Assou-Ekotto,Cameroon,Tottenham Hotspur,1,2012-2013
Mario Balotelli,Italy,Manchester City,1,2012-2013
Phil Bardsley,Scotland,Sunderland AFC,1,2012-2013
Gareth Barry,England,Manchester City,1,2012-2013
Jean Beausejour,Chile,Wigan Athletic,1,2012-2013
Elliott Bennett,Jamaica,Norwich City,1,2012-2013
Ryan Bennett,England,Norwich City,1,2012-2013
Gaël Bigirimana,Burundi,Newcastle United,1,2012-2013
Fabio Borini,Italy,Liverpool FC,1,2012-2013
Jay Bothroyd,England,Queens Park Rangers,1,2012-2013
Gary Caldwell,Scotland,Wigan Athletic,1,2012-2013
Fraizer Campbell,England,Sunderland AFC,1,2012-2013
Carlos Cuéllar,Spain,Sunderland AFC,1,2012-2013
Michael Carrick,England,Manchester United,1,2012-2013
Ciaran Clark,Ireland,Aston Villa,1,2012-2013
Nathaniel Clyne,England,Southampton FC,1,2012-2013
Ashley Cole,England,Chelsea FC,1,2012-2013
Ben Davies,Wales,Swansea City,1,2012-2013
Michael Dawson,England,Tottenham Hotspur,1,2012-2013
Mousa Dembélé,Belgium,Tottenham Hotspur,1,2012-2013
Graham Dorrans,Scotland,West Bromwich Albion,1,2012-2013
Karim El Ahmadi,Morocco,Aston Villa,1,2012-2013
Urby Emanuelson,Netherlands,Fulham FC,1,2012-2013
Roger Espinoza,Honduras,Wigan Athletic,1,2012-2013
Rio Ferdinand,England,Manchester United,1,2012-2013
Maynor Figueroa,Honduras,Wigan Athletic,1,2012-2013
Darren Fletcher,Scotland,Manchester United,1,2012-2013
Danny Fox,Scotland,Southampton FC,1,2012-2013
William Gallas,France,Tottenham Hotspur,1,2012-2013
Darron Gibson,Ireland,Everton FC,1,2012-2013
Kaspars Gorkšs,Latvia,Reading FC,1,2012-2013
Granero,Spain,Queens Park Rangers,1,2012-2013
Danny Guthrie,England,Reading FC,1,2012-2013
Jonás Gutiérrez,Argentina,Newcastle United,1,2012-2013
Ángelo Henríquez,Chile,Wigan Athletic,1,2012-2013
Brett Holman,Australia,Aston Villa,1,2012-2013
Robert Huth,Germany,Stoke City,1,2012-2013
Simeon Jackson,Canada,Norwich City,1,2012-2013
Bradley Johnson,England,Norwich City,1,2012-2013
Glen Johnson,England,Liverpool FC,1,2012-2013
Billy Jones,England,West Bromwich Albion,1,2012-2013
Kei Kamara,Sierra Leone,Norwich City,1,2012-2013
Jem Karacan,Turkey,Reading FC,1,2012-2013
Giorgios Karagounis,Greece,Fulham FC,1,2012-2013
Aleksandar Kolarov,Serbia,Manchester City,1,2012-2013
Vincent Kompany,Belgium,Manchester City,1,2012-2013
Sebastian Larsson,Sweden,Sunderland AFC,1,2012-2013
Mikele Leigertwood,Antigua & Barbuda,Reading FC,1,2012-2013
Joleon Lescott,England,Manchester City,1,2012-2013
Adrian Mariappa,Jamaica,Reading FC,1,2012-2013
Marko Marin,Germany,Chelsea FC,1,2012-2013
Sylvain Marveaux,France,Newcastle United,1,2012-2013
Steve Morison,Wales,Norwich City,1,2012-2013
Victor Moses,Nigeria,Wigan Athletic,1,2012-2013
Nacho Monreal,Spain,Arsenal FC,1,2012-2013
Nani,Portugal,Manchester United,1,2012-2013
Ryan Nelsen,New Zealand,Queens Park Rangers,1,2012-2013
Steven Nzonzi,France,Stoke City,1,2012-2013
Gary O'Neil,England,West Ham United,1,2012-2013
Michael Owen,England,Stoke City,1,2012-2013
Alex Oxlade-Chamberlain,England,Arsenal FC,1,2012-2013
James Perch,England,Newcastle United,1,2012-2013
Nick Powell,England,Manchester United,1,2012-2013
Aaron Ramsey,Wales,Arsenal FC,1,2012-2013
Winston Reid,New Zealand,West Ham United,1,2012-2013
Kieran Richardson,England,Sunderland AFC,1,2012-2013
Sascha Riether,Germany,Fulham FC,1,2012-2013
John Arne Riise,Norway,Fulham FC,1,2012-2013
Danny Rose,England,Sunderland AFC,1,2012-2013
Nuri Şahin,Turkey,Liverpool FC,1,2012-2013
Sandro,Brazil,Tottenham Hotspur,1,2012-2013
Davide Santon,Italy,Newcastle United,1,2012-2013
Paul Scholes,England,Manchester United,1,2012-2013
Ryan Shawcross,England,Stoke City,1,2012-2013
Itay Shechter,Israel,Swansea City,1,2012-2013
Scott Sinclair,England,Swansea City,1,2012-2013
Matthew Taylor,England,West Ham United,1,2012-2013
Dwight Tiendalli,Netherlands,Swansea City,1,2012-2013
James Tomkins,England,West Ham United,1,2012-2013
Matthew Upson,England,Stoke City,1,2012-2013
Antonio Valencia,Ecuador,Manchester United,1,2012-2013
David Vaughan,Wales,Sunderland AFC,1,2012-2013
Nemanja Vidić,Serbia,Manchester United,1,2012-2013
Ben Watson,England,Wigan Athletic,1,2012-2013
Danny Welbeck,England,Manchester United,1,2012-2013
Dean Whitehead,England,Stoke City,1,2012-2013
Steven Whittaker,Scotland,Norwich City,1,2012-2013
Shaun Wright-Phillips,England,Queens Park Rangers,1,2012-2013
